Player_Id,Player_Name,Batting_Hand,Bowling_Skill,Country,Is_Umpire
39,SK Trivedi,Right_Hand,Right-arm medium,India,0
40,G Gambhir,Left_Hand,Legbreak,India,0
41,V Sehwag,Right_Hand,Right-arm offbreak,India,0
42,S Dhawan,Left_Hand,Right-arm offbreak,India,0
43,L Ronchi,Right_Hand,NULL,Australia,0
44,ST Jayasuriya,Left_Hand,Slow left-arm orthodox,Sri Lanka,0
45,DJ Thornely,Right_Hand,Right-arm medium,Australia,0
46,RV Uthappa,Right_Hand,Right-arm medium,India,0
47,PR Shah,Right_Hand,NULL,India,0
48,AM Nayar,Left_Hand,Right-arm medium,India,0
49,SM Pollock,Right_Hand,Right-arm fast-medium,South Africa,0
50,Harbhajan Singh,Right_Hand,Right-arm offbreak,India,0
51,S Chanderpaul,Left_Hand,Legbreak,West Indies,0
52,LRPL Taylor,Right_Hand,Right-arm offbreak,New Zealand,0
53,AC Gilchrist,Left_Hand,Right-arm offbreak,Australia,0
54,Y Venugopal Rao,Right_Hand,Right-arm offbreak,India,0
55,VVS Laxman,Right_Hand,Right-arm offbreak,India,0
56,A Symonds,Right_Hand,Right-arm offbreak,Australia,0
57,RG Sharma,Right_Hand,Right-arm offbreak,India,0
58,SB Styris,Right_Hand,Right-arm medium,New Zealand,0
59,SB Bangar,Right_Hand,Right-arm medium-fast,India,0
60,WPUJC Vaas,Left_Hand,Left-arm fast-medium,Sri Lanka,0
61,RP Singh,Right_Hand,Left-arm fast-medium,India,0
62,WP Saha,Right_Hand,NULL,India,0
63,LR Shukla,Right_Hand,Right-arm medium,India,0
64,DPMD Jayawardene,Right_Hand,Right-arm medium,Sri Lanka,0
65,S Sohal,Right_Hand,Legbreak,India,0
66,B Lee,Right_Hand,Right-arm fast,Australia,0
67,PP Chawla,Left_Hand,Legbreak,India,0
68,WA Mota,Right_Hand,Right-arm medium,India,0
69,Kamran Akmal,Right_Hand,NULL,Pakistan,0
70,Shahid Afridi,Right_Hand,Legbreak googly,Pakistan,0
71,DJ Bravo,Right_Hand,Right-arm medium-fast,West Indies,0
72,MA Khote,Right_Hand,Right-arm medium,India,0
73,A Nehra,Right_Hand,Left-arm medium-fast,India,0
74,GC Smith,Left_Hand,Right-arm offbreak,South Africa,0
75,Pankaj Singh,Right_Hand,Right-arm medium-fast,India,0
76,RR Sarwan,Right_Hand,Legbreak,West Indies,0
77,S Sreesanth,Right_Hand,Right-arm fast-medium,India,0
78,VRV Singh,Right_Hand,Right-arm medium-fast,India,0
79,SS Tiwary,Left_Hand,NULL,India,0
80,DS Kulkarni,Right_Hand,Right-arm medium,India,0
81,R Vinay Kumar,Right_Hand,Right-arm medium,India,0
82,AB Agarkar,Right_Hand,Right-arm fast,India,0
83,M Kartik,Left_Hand,Slow left-arm orthodox,India,0
84,I Sharma,Right_Hand,Right-arm fast-medium,India,0
85,AM Rahane,Right_Hand,Right-arm medium,India,0
86,Shoaib Malik,Right_Hand,Right-arm offbreak,Pakistan,0
